分类: 地方, 名称: 金鹰卡通, 总数: 100, 有效率: 1.00%, 有效: 1, IPv4: 100, IPv6: 0, 最小延迟: 205 ms, 最高速率: 3.61 MiB/s, 平均速率: 3.61 MiB/s, 最高分辨率: —, 平均帧率: 50.0, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 快乐垂钓, 总数: 23, 有效率: 0.00%, 有效: 0, IPv4: 23, IPv6: 0, 最小延迟: 204 ms, 最高速率: 0.11 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 地方, 名称: 长沙新闻, 总数: 4, 有效率: 0.00%, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 地方, 名称: 长沙政法, 总数: 3, 有效率: 0.00%, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 地方, 名称: 东方卫视, 总数: 211, 有效率: 2.84%, 有效: 6, IPv4: 211, IPv6: 0, 最小延迟: 35 ms, 最高速率: 37.89 MiB/s, 平均速率: 14.64 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.83, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 浙江卫视, 总数: 200, 有效率: 2.50%, 有效: 5, IPv4: 200, IPv6: 0, 最小延迟: 40 ms, 最高速率: 27.60 MiB/s, 平均速率: 9.58 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 36.67, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 江苏卫视, 总数: 221, 有效率: 3.17%, 有效: 7, IPv4: 221, IPv6: 0, 最小延迟: 32 ms, 最高速率: 31.26 MiB/s, 平均速率: 19.48 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 广东卫视, 总数: 233, 有效率: 1.72%, 有效: 4, IPv4: 233, IPv6: 0, 最小延迟: 32 ms, 最高速率: 33.68 MiB/s, 平均速率: 13.78 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.75, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 北京卫视, 总数: 200, 有效率: 1.00%, 有效: 2, IPv4: 200, IPv6: 0, 最小延迟: 53 ms, 最高速率: 9.01 MiB/s, 平均速率: 5.25 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 36.67, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 天津卫视, 总数: 184, 有效率: 1.09%, 有效: 2, IPv4: 184, IPv6: 0, 最小延迟: 47 ms, 最高速率: 2.11 MiB/s, 平均速率: 2.03 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 45.0, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 山东卫视, 总数: 195, 有效率: 1.54%, 有效: 3, IPv4: 195, IPv6: 0, 最小延迟: 58 ms, 最高速率: 3.35 MiB/s, 平均速率: 2.38 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 39.0, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 安徽卫视, 总数: 180, 有效率: 0.56%, 有效: 1, IPv4: 180, IPv6: 0, 最小延迟: 58 ms, 最高速率: 1.82 MiB/s, 平均速率: 1.82 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 辽宁卫视, 总数: 197, 有效率: 2.03%, 有效: 4, IPv4: 197, IPv6: 0, 最小延迟: 59 ms, 最高速率: 24.13 MiB/s, 平均速率: 11.79 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 湖北卫视, 总数: 192, 有效率: 0.52%, 有效: 1, IPv4: 192, IPv6: 0, 最小延迟: 86 ms, 最高速率: 1.57 MiB/s, 平均速率: 1.57 MiB/s, 最高分辨率: 1280x720, 平均帧率: 60.0, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 重庆卫视, 总数: 164, 有效率: 0.61%, 有效: 1, IPv4: 164, IPv6: 0, 最小延迟: 59 ms, 最高速率: 1.05 MiB/s, 平均速率: 1.05 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 海南卫视, 总数: 102, 有效率: 0.98%, 有效: 1, IPv4: 102, IPv6: 0, 最小延迟: 67 ms, 最高速率: 3.46 MiB/s, 平均速率: 3.46 MiB/s, 最高分辨率: 1280x720, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 四川卫视, 总数: 170, 有效率: 1.18%, 有效: 2, IPv4: 170, IPv6: 0, 最小延迟: 49 ms, 最高速率: 84.10 MiB/s, 平均速率: 61.71 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 吉林卫视, 总数: 147, 有效率: 1.36%, 有效: 2, IPv4: 147, IPv6: 0, 最小延迟: 76 ms, 最高速率: 11.91 MiB/s, 平均速率: 3.34 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.75, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 江西卫视, 总数: 196, 有效率: 2.04%, 有效: 4, IPv4: 196, IPv6: 0, 最小延迟: 102 ms, 最高速率: 29.66 MiB/s, 平均速率: 16.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.0, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 黑龙江卫视, 总数: 164, 有效率: 0.61%, 有效: 1, IPv4: 164, IPv6: 0, 最小延迟: 32 ms, 最高速率: 6.07 MiB/s, 平均速率: 6.07 MiB/s, 最高分辨率: 1280x720, 平均帧率: 60.0, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 河南卫视, 总数: 178, 有效率: 1.12%, 有效: 2, IPv4: 178, IPv6: 0, 最小延迟: 33 ms, 最高速率: 5.53 MiB/s, 平均速率: 3.88 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.75, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 云南卫视, 总数: 134, 有效率: 2.99%, 有效: 4, IPv4: 134, IPv6: 0, 最小延迟: 58 ms, 最高速率: 3.29 MiB/s, 平均速率: 1.47 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 42.5, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 贵州卫视, 总数: 180, 有效率: 2.78%, 有效: 5, IPv4: 180, IPv6: 0, 最小延迟: 33 ms, 最高速率: 56.72 MiB/s, 平均速率: 24.66 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.0, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 深圳卫视, 总数: 193, 有效率: 1.04%, 有效: 2, IPv4: 193, IPv6: 0, 最小延迟: 37 ms, 最高速率: 31.18 MiB/s, 平均速率: 15.95 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 东南卫视, 总数: 152, 有效率: 2.63%, 有效: 4, IPv4: 152, IPv6: 0, 最小延迟: 55 ms, 最高速率: 8.87 MiB/s, 平均速率: 3.22 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.75, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 广西卫视, 总数: 151, 有效率: 0.66%, 有效: 1, IPv4: 151, IPv6: 0, 最小延迟: 34 ms, 最高速率: 3.98 MiB/s, 平均速率: 3.98 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 河北卫视, 总数: 167, 有效率: 1.20%, 有效: 2, IPv4: 167, IPv6: 0, 最小延迟: 58 ms, 最高速率: 3.58 MiB/s, 平均速率: 2.69 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 36.67, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 山西卫视, 总数: 144, 有效率: 3.47%, 有效: 5, IPv4: 144, IPv6: 0, 最小延迟: 52 ms, 最高速率: 72.35 MiB/s, 平均速率: 26.20 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 32.5, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 陕西卫视, 总数: 147, 有效率: 2.04%, 有效: 3, IPv4: 147, IPv6: 0, 最小延迟: 57 ms, 最高速率: 35.19 MiB/s, 平均速率: 15.57 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.0, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 甘肃卫视, 总数: 107, 有效率: 2.80%, 有效: 3, IPv4: 107, IPv6: 0, 最小延迟: 84 ms, 最高速率: 13.14 MiB/s, 平均速率: 7.82 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 宁夏卫视, 总数: 128, 有效率: 3.91%, 有效: 5, IPv4: 128, IPv6: 0, 最小延迟: 32 ms, 最高速率: 75.93 MiB/s, 平均速率: 45.11 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 青海卫视, 总数: 119, 有效率: 1.68%, 有效: 2, IPv4: 119, IPv6: 0, 最小延迟: 49 ms, 最高速率: 4.82 MiB/s, 平均速率: 3.81 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 48.33, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 内蒙古卫视, 总数: 103, 有效率: 4.85%, 有效: 5, IPv4: 103, IPv6: 0, 最小延迟: 32 ms, 最高速率: 64.98 MiB/s, 平均速率: 28.82 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 西藏卫视, 总数: 95, 有效率: 2.11%, 有效: 2, IPv4: 95, IPv6: 0, 最小延迟: 47 ms, 最高速率: 105.36 MiB/s, 平均速率: 57.58 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: aac
分类: 地方, 名称: 新疆卫视, 总数: 99, 有效率: 2.02%, 有效: 2, IPv4: 99, IPv6: 0, 最小延迟: 33 ms, 最高速率: 68.43 MiB/s, 平均速率: 34.47 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 38.33, 视频编解码器: h264, 音频编解码器: aac
